time,x,y,typhoon_name
4320,339,0,台风_1
4320,762,3,台风_2
4320,714,6,台风_3
4326,676,1,台风_1
4332,762,4,台风_1
4338,719,0,台风_1
4338,338,0,台风_4
4338,680,0,台风_5
4344,674,1,台风_1
4350,715,0,台风_1
4356,759,4,台风_1
4356,339,0,台风_6
4362,759,2,台风_1
4362,338,0,台风_6
4362,310,0,台风_7
4362,711,0,台风_8
4368,759,3,台风_1
4368,329,0,台风_6
4368,293,0,台风_7
4368,717,0,台风_8
4374,759,2,台风_1
4374,338,0,台风_6
4374,689,3,台风_7
4374,714,0,台风_8
4380,759,4,台风_1
4380,719,0,台风_6
4386,759,3,台风_1
4386,718,0,台风_6
4386,664,0,台风_9
4392,759,4,台风_1
4392,714,2,台风_6
4392,674,1,台风_9
4398,689,3,台风_1
4404,690,2,台风_1
4404,660,0,台风_10
4404,758,4,台风_11
4410,692,3,台风_1
4410,714,2,台风_10
4410,339,0,台风_11
4416,661,0,台风_1
4416,759,2,台风_10
4416,338,0,台风_11
4422,689,3,台风_1
4428,690,3,台风_1
4428,653,0,台风_12
4428,759,4,台风_13
4434,691,3,台风_1
4434,715,0,台风_12
4440,681,0,台风_1
4440,760,2,台风_12
